"OUT_Id"	"g406"	"g407"	"g408"	"g409"	"g410"	"g416"	"g417"	"g418"	"g419"	"g420"	"g426"	"g427"	"g428"	"g429"	"g430"	"g436"	"g437"	"g438"	"g439"	"g440"	"g446"	"g447"	"g448"	"g449"	"g450"	"superkingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"72"	"OTU77"	7586	47960	26562	6363	0	12118	20449	6294	20752	8885	464	0	308	2004	311	622	14629	155	1842	9912	308	311	310	2022	158	"Bacteria"	"Chloroflexi"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"73"	"OTU78"	1876612	526630	549062	1589571	4197072	1481921	221640	176382	313916	1541004	1005342	1294614	1112753	219097	274089	36556	27056	24624	5373	4646	72923	75289	128540	305822	377336	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp4"	NA	NA	"Gp4"	"uncultured_Candidatus_Chloracidobacterium_sp."
"74"	"OTU79"	103065	83659	69688	366317	131475	677854	130090	92259	297345	555132	49139	19007	31916	36233	38889	24422	80225	38562	12741	72788	34308	47756	31748	26600	33183	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp6"	NA	NA	"Gp6"	"Unassigned"
"75"	"OTU80"	1021490	342550	197031	694912	1900619	1577372	418584	351535	289912	1186948	962075	444106	753194	630000	481756	231778	306899	276748	75680	187235	405692	516911	203960	443800	525237	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	NA	"uncultured_Dongia_sp."
"76"	"OTU81"	596152	165144	167500	538795	1244369	1089302	527910	460526	319181	948593	631854	588278	662841	385463	366022	147467	172247	265288	60789	41814	318615	536044	288673	401800	473567	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp6"	NA	NA	"Gp6"	"uncultured_Moorella_sp."
"77"	"OTU82"	55194	52151	22344	205883	28716	17338	8337	30241	53429	51380	309	0	0	0	0	622	629	0	154	9912	769	156	0	0	0	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp25"	NA	NA	"Gp25"	"uncultured_Acidobacteria_bacterium"
"78"	"OTU83"	13602	32129	43594	53402	845	40269	57416	11513	24159	31485	927	0	925	154	311	622	5348	1394	768	34535	462	0	465	156	632	"Bacteria"	"Chloroflexi"	NA	NA	NA	NA	"Unassigned"
"79"	"OTU84"	437893	255787	201094	624466	641610	502425	395618	572281	432854	804111	192693	150971	338899	181938	128178	122111	128831	132721	57259	117389	90615	200044	151150	145133	154695	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp6"	NA	NA	"Gp6"	"Unassigned"
"80"	"OTU85"	677244	882528	499062	272693	1016892	175429	133393	79364	68916	380132	16843	18234	44559	6167	10889	8089	16045	14712	1535	9602	16615	17733	42124	34689	44718	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micromonosporaceae"	"Unassigned"	"Unassigned"
"81"	"OTU86"	1325190	593681	341562	1651609	932995	3934389	2325888	2880132	2075686	2825883	1037638	896556	1163789	843084	1043778	423422	898989	715487	288750	642699	1376615	1135400	763496	671378	670609	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	NA	"Unassigned"
"82"	"OTU87"	4300459	1844989	977344	4746444	1907376	1808357	757573	2020943	1652434	3012279	484437	484128	974758	395330	389044	278444	371236	154558	164868	140465	269077	409422	601969	494511	479571	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp4"	NA	NA	"Gp4"	"Unassigned"
"83"	"OTU88"	271525	433969	655938	712864	406813	401754	93281	36535	80841	111451	118057	194238	1418348	185793	232244	62378	56157	18584	12588	53739	90308	410356	87345	77622	73160	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces_prunicolor"
"84"	"OTU89"	240920	647539	371719	582881	361486	197055	95798	75219	136903	308664	22406	10662	16652	8789	12756	8089	9438	7279	4452	28341	6769	11511	8673	9333	13115	"Bacteria"	NA	NA	NA	NA	NA	"uncultured_candidate_division_SPAM_bacterium"
"85"	"OTU90"	795742	344568	308906	988738	1464809	288032	114360	85811	112743	373565	64746	90088	381454	66145	77000	47289	21236	27566	10899	10066	30462	53356	27412	43711	53251	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Solirubrobacterales"	NA	NA	"Unassigned"
"86"	"OTU91"	1252731	223038	162188	1334831	2865146	1640944	997303	1033421	601504	1820116	612230	531258	501410	279692	277822	85089	129618	116305	47588	55288	166923	241733	231836	364311	365169	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"87"	"OTU92"	275711	168869	168594	384724	29561	205071	308629	231798	270708	211507	63819	29978	67225	169141	30022	58333	228719	105929	44364	270708	19538	26289	56991	57400	91016	"Bacteria"	NA	NA	NA	NA	NA	"uncultured_Dehalococcoides_sp."
